angle_fit, V_pd_fit
0.000000000000000000e+00,3.263803955768626963e+01
2.011173184357541999e+00,3.255175648500705421e+01
4.022346368715083997e+00,3.238559101900228399e+01
6.033519553072625996e+00,3.214036176781548448e+01
8.044692737430167995e+00,3.181727684446125792e+01
1.005586592178770999e+01,3.141792791510024330e+01
1.206703910614525199e+01,3.094428235775356839e+01
1.407821229050279399e+01,3.039867357008630577e+01
1.608938547486033599e+01,2.978378947400850407e+01
1.810055865921787799e+01,2.910265927372535444e+01
2.011173184357541999e+01,2.835863853247248656e+01
2.212290502793296199e+01,2.755539264145537715e+01
2.413407821229050398e+01,2.669687876243245483e+01
2.614525139664804598e+01,2.578732633290118414e+01
2.815642458100558798e+01,2.483121622992758404e+01
3.016759776536312998e+01,2.383325869526781204e+01
3.217877094972067198e+01,2.279837013053296246e+01
3.418994413407821753e+01,2.173164887671475398e+01
3.620111731843575598e+01,2.063835009739351278e+01
3.821229050279329442e+01,1.952385988936531191e+01
4.022346368715083997e+01,1.839366874823140918e+01
4.223463687150838552e+01,1.725334451967072269e+01
4.424581005586592397e+01,1.610850496964999223e+01
4.625698324022346242e+01,1.496479010870340076e+01
4.826815642458100797e+01,1.382783440662520391e+01
5.027932960893855352e+01,1.270323903445853730e+01
5.229050279329609197e+01,1.159654427052940484e+01
5.430167597765363041e+01,1.051320220646635839e+01
5.631284916201117596e+01,9.458549887668747047e+00
5.832402234636872151e+01,8.437783020546108403e+00
6.033519553072625996e+01,7.455930376058891973e+00
6.234636871508379841e+01,6.517829015660688619e+00
6.435754189944134396e+01,5.628100461690290324e+00
6.636871508379888951e+01,4.791127929609545255e+00
6.837988826815643506e+01,4.011034734251236245e+00
7.039106145251396640e+01,3.291663976458089280e+00
7.240223463687151195e+01,2.636559610185808644e+00
7.441340782122905750e+01,2.048948983342403718e+00
7.642458100558658884e+01,1.531726938375753466e+00
7.843575418994413440e+01,1.087441550937214618e+00
8.044692737430167995e+01,7.182815768793396893e-01
8.245810055865922550e+01,4.260656694295154034e-01
8.446927374301677105e+01,2.122334196607917056e-01
8.648044692737430239e+01,7.783826439863031355e-02
8.849162011173184794e+01,2.354229650260599924e-02
9.050279329608939349e+01,4.961300308992165620e-02
9.251396648044692483e+01,1.559219477698337852e-01
9.452513966480447039e+01,3.419454033808694282e-01
9.653631284916201594e+01,6.067669321137021399e-01
9.854748603351956149e+01,9.490819003087885841e-01
1.005586592178771070e+02,1.367203905686788623e+00
1.025698324022346384e+02,1.859073085348255994e+00
1.045810055865921839e+02,2.422266263613523041e+00
1.065921787709497295e+02,3.054008889709819652e+00
1.086033519553072608e+02,3.751188706495069525e+00
1.106145251396648064e+02,4.510371082879869320e+00
1.126256983240223519e+02,5.327815934412988952e+00
1.146368715083798975e+02,6.199496148671825857e+00
1.166480446927374430e+02,7.121117424685751374e+00
1.186592178770949744e+02,8.088139428654157470e+00
1.206703910614525199e+02,9.095798161736253107e+00
1.226815642458100655e+02,1.013912942971865760e+01
1.246927374301675968e+02,1.121299329893821550e+01
1.267039106145251424e+02,1.231209941797881946e+01
1.287150837988826879e+02,1.343103308039581378e+01
1.307262569832402335e+02,1.456428190007098955e+01
1.327374301675977790e+02,1.570626296778297792e+01
1.347486033519553246e+02,1.685135035520702829e+01
1.367597765363128701e+02,1.799390283084695952e+01
1.387709497206703873e+02,1.912829165135760334e+01
1.407821229050279328e+02,2.024892829134480010e+01
1.427932960893854784e+02,2.135029197503307330e+01
1.448044692737430239e+02,2.242695687416741990e+01
1.468156424581005695e+02,2.347361883815937844e+01
1.488268156424581150e+02,2.448512152479269233e+01
1.508379888268156606e+02,2.545648180275614436e+01
1.528491620111731777e+02,2.638291430085943645e+01
1.548603351955307232e+02,2.725985498299076326e+01
1.568715083798882688e+02,2.808298363267526909e+01
1.588826815642458143e+02,2.884824513646482202e+01
1.608938547486033599e+02,2.955186946130746861e+01
1.629050279329609054e+02,3.019039022747850254e+01
1.649162011173184510e+02,3.076066178557453057e+01
1.669273743016759965e+02,3.125987471344118518e+01
1.689385474860335421e+02,3.168556965668954462e+01
1.709497206703910592e+02,3.203564944461631114e+01
1.729608938547486048e+02,3.230838942183927998e+01
1.749720670391061503e+02,3.250244594474951043e+01
1.769832402234636959e+02,3.261686300092289059e+01
1.789944134078212414e+02,3.265107691888065489e+01
1.810055865921787870e+02,3.260491914499649369e+01
1.830167597765363325e+02,3.247861707386989139e+01
1.850279329608938497e+02,3.227279292807484978e+01
1.870391061452513952e+02,3.198846069280297044e+01
1.890502793296089408e+02,3.162702112050214964e+01
1.910614525139664863e+02,3.119025483012043765e+01
1.930726256983240319e+02,3.068031353495137026e+01
1.950837988826815774e+02,3.009970944229639755e+01
1.970949720670391230e+02,2.945130287716677131e+01
1.991061452513966685e+02,2.873828819099600906e+01
2.011173184357542141e+02,2.796417802478342907e+01
2.031284916201117312e+02,2.713278600419560149e+01
2.051396648044692768e+02,2.624820795187775602e+01
2.071508379888268223e+02,2.531480170953210873e+01
2.091620111731843679e+02,2.433716566916858071e+01
2.111731843575419134e+02,2.332011611929346984e+01
2.131843575418994590e+02,2.226866351763855079e+01
2.151955307262570045e+02,2.118798780732288378e+01
2.172067039106145216e+02,2.008341289805077423e+01
2.192178770949720672e+02,1.896038043806363049e+01
2.212290502793296127e+02,1.782442300605729457e+01
2.232402234636871583e+02,1.668113685513359101e+01
2.252513966480447039e+02,1.553615434306234810e+01
2.272625698324022494e+02,1.439511618467516207e+01
2.292737430167597950e+02,1.326364366308816756e+01
2.312849162011173405e+02,1.214731093665461614e+01
2.332960893854748861e+02,1.105161757807588430e+01
2.353072625698324032e+02,9.981961480955938271e+00
2.373184357541899487e+02,8.943612267274188454e+00
2.393296089385474943e+02,7.941685326783975540e+00
2.413407821229050398e+02,6.981116616230237604e+00
2.433519553072625854e+02,6.066638342537771678e+00
2.453631284916201309e+02,5.202755649765232526e+00
2.473743016759776765e+02,4.393724424676361373e+00
2.493854748603351936e+02,3.643530330268133888e+00
2.513966480446927392e+02,2.955869170546491898e+00
2.534078212290502847e+02,2.334128683281988081e+00
2.554189944134078303e+02,1.781371850442373672e+00
2.574301675977653758e+02,1.300321808523056122e+00
2.594413407821228930e+02,8.933484331139295298e-01
2.614525139664804669e+02,5.624566637930764612e-01
2.634636871508379841e+02,3.092766268647907379e-01
2.654748603351955580e+02,1.350556046013142442e-01
2.674860335195530752e+02,4.065189055202503288e-02
2.694972067039106491e+02,2.653056119134399038e-02
2.715083798882681663e+02,9.276118473635908135e-02
2.735195530726257402e+02,2.390174784215363946e-01
2.755307262569832574e+02,4.645789159189126494e-01
2.775418994413407745e+02,7.683342769849459408e-01
2.795530726256983485e+02,1.148787121846758019e+00
2.815642458100558656e+02,1.604063163358373734e+00
2.835754189944134396e+02,2.131919500608468798e+00
2.855865921787709567e+02,2.729755668490271514e+00
